file, #v, #c, #l
r75k3q0.8c5/194.4.cnf, 75, 194, 582
r75k3q0.8c5/34.2.cnf, 75, 34, 102
r75k3q0.8c5/67.1.cnf, 75, 67, 201
r75k3q0.8c5/87.1.cnf, 75, 87, 261
r75k3q0.8c5/68.5.cnf, 75, 68, 204
r75k3q0.8c5/60.3.cnf, 75, 60, 180
r75k3q0.8c5/70.4.cnf, 75, 70, 210
r75k3q0.8c5/158.2.cnf, 75, 158, 474
r75k3q0.8c5/12.2.cnf, 75, 12, 36
r75k3q0.8c5/31.4.cnf, 75, 31, 93
r75k3q0.8c5/107.2.cnf, 75, 107, 321
r75k3q0.8c5/107.5.cnf, 75, 107, 321
r75k3q0.8c5/263.2.cnf, 75, 263, 789
r75k3q0.8c5/153.3.cnf, 75, 153, 459
r75k3q0.8c5/6.2.cnf, 75, 6, 18
r75k3q0.8c5/89.4.cnf, 75, 89, 267
r75k3q0.8c5/8.3.cnf, 75, 8, 24
r75k3q0.8c5/137.5.cnf, 75, 137, 411
r75k3q0.8c5/239.1.cnf, 75, 239, 717
r75k3q0.8c5/217.2.cnf, 75, 217, 651
r75k3q0.8c5/106.3.cnf, 75, 106, 318
r75k3q0.8c5/102.5.cnf, 75, 102, 306
r75k3q0.8c5/79.5.cnf, 75, 79, 237
r75k3q0.8c5/212.5.cnf, 75, 212, 636
r75k3q0.8c5/233.2.cnf, 75, 233, 699
r75k3q0.8c5/189.1.cnf, 75, 189, 567
r75k3q0.8c5/57.1.cnf, 75, 57, 171
r75k3q0.8c5/102.4.cnf, 75, 102, 306
r75k3q0.8c5/229.2.cnf, 75, 229, 687
r75k3q0.8c5/34.4.cnf, 75, 34, 102
r75k3q0.8c5/279.2.cnf, 75, 279, 837
r75k3q0.8c5/7.3.cnf, 75, 7, 21
r75k3q0.8c5/49.4.cnf, 75, 49, 147
r75k3q0.8c5/284.4.cnf, 75, 284, 852
r75k3q0.8c5/42.5.cnf, 75, 42, 126
r75k3q0.8c5/102.1.cnf, 75, 102, 306
r75k3q0.8c5/309.3.cnf, 75, 309, 927
r75k3q0.8c5/178.4.cnf, 75, 178, 534
r75k3q0.8c5/188.5.cnf, 75, 188, 564
r75k3q0.8c5/105.1.cnf, 75, 105, 315
r75k3q0.8c5/134.2.cnf, 75, 134, 402
r75k3q0.8c5/29.2.cnf, 75, 29, 87
r75k3q0.8c5/192.4.cnf, 75, 192, 576
r75k3q0.8c5/109.2.cnf, 75, 109, 327
r75k3q0.8c5/33.5.cnf, 75, 33, 99
r75k3q0.8c5/220.5.cnf, 75, 220, 660
r75k3q0.8c5/244.2.cnf, 75, 244, 732
r75k3q0.8c5/267.5.cnf, 75, 267, 801
r75k3q0.8c5/43.1.cnf, 75, 43, 129
r75k3q0.8c5/157.3.cnf, 75, 157, 471
r75k3q0.8c5/157.1.cnf, 75, 157, 471
r75k3q0.8c5/196.4.cnf, 75, 196, 588
r75k3q0.8c5/155.2.cnf, 75, 155, 465
r75k3q0.8c5/12.4.cnf, 75, 12, 36
r75k3q0.8c5/93.2.cnf, 75, 93, 279
r75k3q0.8c5/80.1.cnf, 75, 80, 240
r75k3q0.8c5/44.3.cnf, 75, 44, 132
r75k3q0.8c5/221.5.cnf, 75, 221, 663
r75k3q0.8c5/149.3.cnf, 75, 149, 447
r75k3q0.8c5/311.1.cnf, 75, 311, 933
r75k3q0.8c5/37.2.cnf, 75, 37, 111
r75k3q0.8c5/230.3.cnf, 75, 230, 690
r75k3q0.8c5/152.4.cnf, 75, 152, 456
r75k3q0.8c5/135.4.cnf, 75, 135, 405
r75k3q0.8c5/73.5.cnf, 75, 73, 219
r75k3q0.8c5/257.2.cnf, 75, 257, 771
r75k3q0.8c5/184.3.cnf, 75, 184, 552
r75k3q0.8c5/26.5.cnf, 75, 26, 78
r75k3q0.8c5/161.2.cnf, 75, 161, 483
r75k3q0.8c5/148.3.cnf, 75, 148, 444
r75k3q0.8c5/286.1.cnf, 75, 286, 858
r75k3q0.8c5/114.2.cnf, 75, 114, 342
r75k3q0.8c5/93.5.cnf, 75, 93, 279
r75k3q0.8c5/180.2.cnf, 75, 180, 540
r75k3q0.8c5/19.5.cnf, 75, 19, 57
r75k3q0.8c5/193.4.cnf, 75, 193, 579
r75k3q0.8c5/141.3.cnf, 75, 141, 423
r75k3q0.8c5/21.5.cnf, 75, 21, 63
r75k3q0.8c5/212.1.cnf, 75, 212, 636
r75k3q0.8c5/229.4.cnf, 75, 229, 687
r75k3q0.8c5/135.5.cnf, 75, 135, 405
r75k3q0.8c5/201.4.cnf, 75, 201, 603
r75k3q0.8c5/223.2.cnf, 75, 223, 669
r75k3q0.8c5/66.5.cnf, 75, 66, 198
r75k3q0.8c5/314.5.cnf, 75, 314, 942
r75k3q0.8c5/89.5.cnf, 75, 89, 267
r75k3q0.8c5/267.3.cnf, 75, 267, 801
r75k3q0.8c5/228.2.cnf, 75, 228, 684
r75k3q0.8c5/78.2.cnf, 75, 78, 234
r75k3q0.8c5/197.4.cnf, 75, 197, 591
r75k3q0.8c5/204.5.cnf, 75, 204, 612
r75k3q0.8c5/262.3.cnf, 75, 262, 786
r75k3q0.8c5/133.3.cnf, 75, 133, 399
r75k3q0.8c5/206.1.cnf, 75, 206, 618
r75k3q0.8c5/355.5.cnf, 75, 355, 1065
r75k3q0.8c5/199.1.cnf, 75, 199, 597
r75k3q0.8c5/6.5.cnf, 75, 6, 18
r75k3q0.8c5/130.1.cnf, 75, 130, 390
r75k3q0.8c5/169.2.cnf, 75, 169, 507
r75k3q0.8c5/56.3.cnf, 75, 56, 168
r75k3q0.8c5/81.4.cnf, 75, 81, 243
r75k3q0.8c5/111.2.cnf, 75, 111, 333
r75k3q0.8c5/250.3.cnf, 75, 250, 750
r75k3q0.8c5/207.5.cnf, 75, 207, 621
r75k3q0.8c5/48.2.cnf, 75, 48, 144
r75k3q0.8c5/52.2.cnf, 75, 52, 156
r75k3q0.8c5/234.2.cnf, 75, 234, 702
r75k3q0.8c5/210.5.cnf, 75, 210, 630
r75k3q0.8c5/95.4.cnf, 75, 95, 285
r75k3q0.8c5/105.2.cnf, 75, 105, 315
r75k3q0.8c5/27.2.cnf, 75, 27, 81
r75k3q0.8c5/305.5.cnf, 75, 305, 915
r75k3q0.8c5/139.5.cnf, 75, 139, 417
r75k3q0.8c5/315.2.cnf, 75, 315, 945
r75k3q0.8c5/213.3.cnf, 75, 213, 639
r75k3q0.8c5/234.4.cnf, 75, 234, 702
r75k3q0.8c5/300.2.cnf, 75, 300, 900
r75k3q0.8c5/258.3.cnf, 75, 258, 774
r75k3q0.8c5/55.1.cnf, 75, 55, 165
r75k3q0.8c5/236.3.cnf, 75, 236, 708
r75k3q0.8c5/154.4.cnf, 75, 154, 462
r75k3q0.8c5/243.3.cnf, 75, 243, 729
r75k3q0.8c5/22.3.cnf, 75, 22, 66
r75k3q0.8c5/260.4.cnf, 75, 260, 780
r75k3q0.8c5/253.3.cnf, 75, 253, 759
r75k3q0.8c5/220.2.cnf, 75, 220, 660
r75k3q0.8c5/27.3.cnf, 75, 27, 81
r75k3q0.8c5/28.3.cnf, 75, 28, 84
r75k3q0.8c5/103.4.cnf, 75, 103, 309
r75k3q0.8c5/275.3.cnf, 75, 275, 825
r75k3q0.8c5/241.5.cnf, 75, 241, 723
r75k3q0.8c5/130.3.cnf, 75, 130, 390
r75k3q0.8c5/107.4.cnf, 75, 107, 321
r75k3q0.8c5/105.4.cnf, 75, 105, 315
r75k3q0.8c5/138.1.cnf, 75, 138, 414
r75k3q0.8c5/123.5.cnf, 75, 123, 369
r75k3q0.8c5/2.1.cnf, 75, 2, 6
r75k3q0.8c5/236.1.cnf, 75, 236, 708
r75k3q0.8c5/34.3.cnf, 75, 34, 102
r75k3q0.8c5/120.3.cnf, 75, 120, 360
r75k3q0.8c5/194.1.cnf, 75, 194, 582
r75k3q0.8c5/253.4.cnf, 75, 253, 759
r75k3q0.8c5/90.2.cnf, 75, 90, 270
r75k3q0.8c5/163.3.cnf, 75, 163, 489
r75k3q0.8c5/72.1.cnf, 75, 72, 216
r75k3q0.8c5/100.1.cnf, 75, 100, 300
r75k3q0.8c5/34.1.cnf, 75, 34, 102
r75k3q0.8c5/6.4.cnf, 75, 6, 18
r75k3q0.8c5/31.3.cnf, 75, 31, 93
r75k3q0.8c5/238.1.cnf, 75, 238, 714
r75k3q0.8c5/117.5.cnf, 75, 117, 351
r75k3q0.8c5/193.5.cnf, 75, 193, 579
r75k3q0.8c5/26.1.cnf, 75, 26, 78
r75k3q0.8c5/37.5.cnf, 75, 37, 111
r75k3q0.8c5/129.4.cnf, 75, 129, 387
r75k3q0.8c5/119.3.cnf, 75, 119, 357
r75k3q0.8c5/158.5.cnf, 75, 158, 474
r75k3q0.8c5/224.5.cnf, 75, 224, 672
r75k3q0.8c5/198.1.cnf, 75, 198, 594
r75k3q0.8c5/65.4.cnf, 75, 65, 195
r75k3q0.8c5/190.4.cnf, 75, 190, 570
r75k3q0.8c5/86.4.cnf, 75, 86, 258
r75k3q0.8c5/144.1.cnf, 75, 144, 432
r75k3q0.8c5/55.2.cnf, 75, 55, 165
r75k3q0.8c5/86.1.cnf, 75, 86, 258
r75k3q0.8c5/114.1.cnf, 75, 114, 342
r75k3q0.8c5/57.3.cnf, 75, 57, 171
r75k3q0.8c5/47.2.cnf, 75, 47, 141
r75k3q0.8c5/20.5.cnf, 75, 20, 60
r75k3q0.8c5/34.5.cnf, 75, 34, 102
r75k3q0.8c5/17.3.cnf, 75, 17, 51
r75k3q0.8c5/195.4.cnf, 75, 195, 585
r75k3q0.8c5/129.1.cnf, 75, 129, 387
